Company,InstallationCode,Model,Vehicle,EngDwg,LiftRec,BodyRec,ChassisR,WhsePull,ChassisP,ChasStag,BodyAcc,Electric,Hyd,LiftPrep,Paint,QA,IVAApp,IVA
VUK,INS ETL36-F E6,ETL36-F E6,Ford Transit Euro 6,1,1,1,1,4,0,0,0,75,45,20,0,37,1,5
VUK,INS ETL38-F E6,ETL38-F E6,Sprinter 5.0T,1,1,1,1,4,0,0,0,95,45,25,0,37,1,5
VUK,INS ETL36-F ECO,ETL36-F ECO,Ford Transit Euro 6,1,1,1,1,4,0,0,0,65,45,20,0,37,1,5
VUK,INS ETL38-F ECO,ETL38-F ECO,Iveco 50C15 E6,1,1,1,1,4,0,0,0,80,45,20,0,37,1,6
VUK,INS ETM36-F E6,ETM36-F E6,Sprinter 5.0T,1,1,1,1,4,0,0,0,120,60,25,0,47,1,6
VUK,INS ETM38-F E6,ETM38-F E6,Iveco 50C15 E6,1,1,1,1,4,0,0,0,120,60,25,0,47,1,6
VUK,INS LAT160-F,LAT160-F,Iveco 70C17,1,1,1,1,5,0,0,0,160,90,35,0,67,1,6
VUK,INS VDT170-F,VDT170-F ,Sprinter 5.0T,1,1,1,1,5,0,0,0,160,120,0,0,72,1,6
VUK,INS LAT-38-135-H E5,LAT-38-135-H,Toyota Hi-Lux/D-Max,1,1,1,1,3,0,0,0,67,30,0,0,29.5,1,5
VUK,INS LAT-38-135-H,LAT-38-135-H,Toyota Hi-Lux/D-Max,1,1,1,1,3,0,0,0,67,30,0,0,29.5,1,0
VUK,INS LAT-38-140-H,LAT-38-140-H,Marooka,1,1,1,1,3,0,0,0,70,45,0,0,37,1,0
VUK,INS VTX-240,VTX240,Iveco Daily 50C CC,1,1,1,1,3,0,0,0,100,50,0,0,52,1,5
VUK,INS VST40MHi,VST40MHi,Unimog U530,1,1,1,1,6,0,0,0,350,250,0,0,153,1,6.5
VUK,INS VOE36MHi,VOE36MHi,Unimog U530,1,1,1,1,6,0,0,0,350,250,0,0,153,1,6.5
VUK,INS VDT170F,VDT170-F ,Iveco Eurocargo,1,1,1,1,6,0,0,0,370,250,0,0,133,1,6.5
VUK,INS TMD-2042-B,TMD-2042-B,Unimog U530,1,1,1,1,6,0,0,0,150,80,0,0,73,1,6.5
VUK,INS VTL-135-F,VTL135-F,Ford Transit Euro 6,1,1,1,1,4,0,0,0,80,50,0,0,37,1,5
VUK,INS VTL-145-F,VTL145-F,Iveco 50C15 E6,1,1,1,1,4,0,0,0,125,65,0,0,47,1,6
VUK,INS VTM-170-F,VTM170-F,Iveco 70C17,1,1,1,1,5,0,0,0,160,90,0,0,67,1,6
VUK,INS LAT-38-150-H,LAT-38-150-H,Unimog U530,1,1,1,1,5,0,0,0,200,125,0,0,73,1,6
VUK,INS ET29NE-PE4,ET29NE,Iveco Eurocargo 120E19,1,1,1,1,1,0,0,0,50,30,0,0,73,1,6
VUK,INS SST37 EiH,SST37-EIH,Isuzu n75-100,1,1,1,1,5,0,0,0,250,150,0,0,108,1,6